DataType,MatrixSize,Min_TIME_us,Max_TIME_us,Median_TIME_us,GFLOPS,Success
FP32,128,7.104,17.984,8.928,467.957,Yes
FP32,256,8.064,18.496,9.632,3476.84,Yes
FP32,512,13.6,20.48,14.72,18218.3,Yes
FP32,1024,42.4,56.32,43.552,49284.4,Yes
FP32,2048,247.168,306.88,286.72,59904,Yes
FP32,4096,1937.41,2203.36,2185.22,62887.2,Yes
FP32,8192,14265.3,16815.1,16659.5,65995.2,Yes
FP16_CUDA,128,6.496,14.272,8.768,476.496,Yes
FP16_CUDA,256,11.104,20.064,12.608,2656.16,Yes
FP16_CUDA,512,18.432,28.384,20.928,12814.1,Yes
FP16_CUDA,1024,49.088,58.592,51.712,41507.5,Yes
FP16_CUDA,2048,311.296,363.52,350.208,49044.2,Yes
FP16_CUDA,4096,2203.65,2609.18,2584.58,53170.1,Yes
FP16_CUDA,8192,18638.8,23210,22969.4,47865.7,Yes
FP16_TENSOR,128,5.024,16,6.752,618.768,Yes
FP16_TENSOR,256,3.84,25.376,5.664,5912.59,Yes
FP16_TENSOR,512,4.512,15.648,5.792,46300.6,Yes
FP16_TENSOR,1024,10.624,22.08,12.192,176053,Yes
FP16_TENSOR,2048,55.84,74.208,57.36,299436,Yes
FP16_TENSOR,4096,470.752,518.144,503.808,272767,Yes
FP16_TENSOR,8192,2975.74,3573.73,3555.84,309194,Yes
FP16_FP32_MIXED_CUDA,128,11.424,62.944,13.024,320.786,Yes
FP16_FP32_MIXED_CUDA,256,19.456,28.256,21.184,1580.86,Yes
FP16_FP32_MIXED_CUDA,512,36.512,44.544,37.6,7132.27,Yes
FP16_FP32_MIXED_CUDA,1024,83.968,90.144,86.016,24953.9,Yes
FP16_FP32_MIXED_CUDA,2048,450.592,544.768,532.48,32256,Yes
FP16_FP32_MIXED_CUDA,4096,2985.98,4016.16,3956.72,34731.3,Yes
FP16_FP32_MIXED_CUDA,8192,24238.1,32487.4,31969.3,34390.7,Yes
FP16_FP32_MIXED_TENSOR,128,2.592,104.832,3.872,1079.01,Yes
FP16_FP32_MIXED_TENSOR,256,3.904,27.104,5.6,5980.16,Yes
FP16_FP32_MIXED_TENSOR,512,6.112,17.664,7.456,35967.5,Yes
FP16_FP32_MIXED_TENSOR,1024,15.68,26.464,17.632,121735,Yes
FP16_FP32_MIXED_TENSOR,2048,102.112,117.024,102.4,167731,Yes
FP16_FP32_MIXED_TENSOR,4096,648.8,684.032,675.84,203335,Yes
FP16_FP32_MIXED_TENSOR,8192,4765.7,5237.76,5217.28,210731,Yes
